Time, Value, Peak Time, Peak Data, SDNN Time, SDNN Data, RMSSD Time, RMSSD Data, LF/HF Ratio Time, LF/HF Ratio Data, LF_Power, HF_Power, PPI
0:0:59:745, 1766, 0:0:59:745, 0, 0:0:59:745, 0, 0:0:59:745, 0, 0:0:59:745, 0, 0, 0, 0
0:0:59:745, 1762, 0:0:59:745, 0, 0:0:59:745, 0, 0:0:59:745, 0, 0:0:59:745, 0, 0, 0, 0
0:0:59:745, 1760, 0:0:59:745, 0, 0:0:59:745, 0, 0:0:59:745, 0, 0:0:59:745, 0, 0, 0, 0
0:0:59:746, 1755, 0:0:59:746, 0, 0:0:59:746, 0, 0:0:59:746, 0, 0:0:59:746, 0, 0, 0, 0
0:0:59:746, 1750, 0:0:59:746, 0, 0:0:59:746, 0, 0:0:59:746, 0, 0:0:59:746, 0, 0, 0, 0
0:0:59:746, 1746, 0:0:59:746, 0, 0:0:59:746, 0, 0:0:59:746, 0, 0:0:59:746, 0, 0, 0, 0
0:0:59:747, 1745, 0:0:59:747, 0, 0:0:59:747, 0, 0:0:59:747, 0, 0:0:59:747, 0, 0, 0, 0
0:0:59:747, 1740, 0:0:59:747, 0, 0:0:59:747, 0, 0:0:59:747, 0, 0:0:59:747, 0, 0, 0, 0
0:0:59:747, 1736, 0:0:59:747, 0, 0:0:59:747, 0, 0:0:59:747, 0, 0:0:59:747, 0, 0, 0, 0
0:0:59:749, 1732, 0:0:59:749, 0, 0:0:59:749, 0, 0:0:59:749, 0, 0:0:59:749, 0, 0, 0, 0
0:0:59:749, 1730, 0:0:59:749, 0, 0:0:59:749, 0, 0:0:59:749, 0, 0:0:59:749, 0, 0, 0, 0
0:0:59:750, 1728, 0:0:59:750, 0, 0:0:59:750, 0, 0:0:59:750, 0, 0:0:59:750, 0, 0, 0, 0
0:0:59:750, 1724, 0:0:59:750, 0, 0:0:59:750, 0, 0:0:59:750, 0, 0:0:59:750, 0, 0, 0, 0
0:0:59:750, 1722, 0:0:59:750, 0, 0:0:59:750, 0, 0:0:59:750, 0, 0:0:59:750, 0, 0, 0, 0
0:0:59:751, 1723, 0:0:59:751, 0, 0:0:59:751, 0, 0:0:59:751, 0, 0:0:59:751, 0, 0, 0, 0
0:0:59:751, 1726, 0:0:59:751, 0, 0:0:59:751, 0, 0:0:59:751, 0, 0:0:59:751, 0, 0, 0, 0
0:0:59:751, 1729, 0:0:59:751, 0, 0:0:59:751, 0, 0:0:59:751, 0, 0:0:59:751, 0, 0, 0, 0
0:0:59:757, 1735, 0:0:59:757, 0, 0:0:59:757, 0, 0:0:59:757, 0, 0:0:59:757, 0, 0, 0, 0
0:0:59:757, 1744, 0:0:59:757, 0, 0:0:59:757, 0, 0:0:59:757, 0, 0:0:59:757, 0, 0, 0, 0
0:0:59:757, 1759, 0:0:59:757, 0, 0:0:59:757, 0, 0:0:59:757, 0, 0:0:59:757, 0, 0, 0, 0
0:0:59:759, 1775, 0:0:59:759, 0, 0:0:59:759, 0, 0:0:59:759, 0, 0:0:59:759, 0, 0, 0, 0
0:0:59:759, 1795, 0:0:59:759, 0, 0:0:59:759, 0, 0:0:59:759, 0, 0:0:59:759, 0, 0, 0, 0
0:0:59:759, 1819, 0:0:59:759, 0, 0:0:59:759, 0, 0:0:59:759, 0, 0:0:59:759, 0, 0, 0, 0
0:0:59:760, 1847, 0:0:59:760, 0, 0:0:59:760, 0, 0:0:59:760, 0, 0:0:59:760, 0, 0, 0, 0
0:0:59:760, 1877, 0:0:59:760, 0, 0:0:59:760, 0, 0:0:59:760, 0, 0:0:59:760, 0, 0, 0, 0
0:0:59:760, 1908, 0:0:59:760, 0, 0:0:59:760, 0, 0:0:59:760, 0, 0:0:59:760, 0, 0, 0, 0
0:0:59:761, 1944, 0:0:59:761, 0, 0:0:59:761, 0, 0:0:59:761, 0, 0:0:59:761, 0, 0, 0, 0
0:0:59:761, 1982, 0:0:59:761, 0, 0:0:59:761, 0, 0:0:59:761, 0, 0:0:59:761, 0, 0, 0, 0
0:0:59:761, 2022, 0:0:59:761, 0, 0:0:59:761, 0, 0:0:59:761, 0, 0:0:59:761, 0, 0, 0, 0
0:0:59:762, 2060, 0:0:59:762, 0, 0:0:59:762, 0, 0:0:59:762, 0, 0:0:59:762, 0, 0, 0, 0
0:0:59:762, 2099, 0:0:59:762, 0, 0:0:59:762, 0, 0:0:59:762, 0, 0:0:59:762, 0, 0, 0, 0
0:0:59:762, 2140, 0:0:59:762, 0, 0:0:59:762, 0, 0:0:59:762, 0, 0:0:59:762, 0, 0, 0, 0
0:0:59:763, 2179, 0:0:59:763, 0, 0:0:59:763, 0, 0:0:59:763, 0, 0:0:59:763, 0, 0, 0, 0
0:0:59:763, 2216, 0:0:59:763, 0, 0:0:59:763, 0, 0:0:59:763, 0, 0:0:59:763, 0, 0, 0, 0
0:0:59:763, 2251, 0:0:59:763, 0, 0:0:59:763, 0, 0:0:59:763, 0, 0:0:59:763, 0, 0, 0, 0
0:0:59:763, 2285, 0:0:59:763, 0, 0:0:59:763, 0, 0:0:59:763, 0, 0:0:59:763, 0, 0, 0, 0
0:0:59:764, 2317, 0:0:59:764, 0, 0:0:59:764, 0, 0:0:59:764, 0, 0:0:59:764, 0, 0, 0, 0
0:0:59:764, 2345, 0:0:59:764, 0, 0:0:59:764, 0, 0:0:59:764, 0, 0:0:59:764, 0, 0, 0, 0
0:0:59:764, 2368, 0:0:59:764, 0, 0:0:59:764, 0, 0:0:59:764, 0, 0:0:59:764, 0, 0, 0, 0
0:0:59:765, 2401, 0:0:59:765, 0, 0:0:59:765, 0, 0:0:59:765, 0, 0:0:59:765, 0, 0, 0, 0
0:0:59:766, 2423, 0:0:59:766, 0, 0:0:59:766, 0, 0:0:59:766, 0, 0:0:59:766, 0, 0, 0, 0
0:0:59:766, 2434, 0:0:59:766, 0, 0:0:59:766, 0, 0:0:59:766, 0, 0:0:59:766, 0, 0, 0, 0
0:0:59:767, 2444, 0:0:59:767, 0, 0:0:59:767, 0, 0:0:59:767, 0, 0:0:59:767, 0, 0, 0, 0
0:0:59:767, 2451, 0:0:59:767, 0, 0:0:59:767, 0, 0:0:59:767, 0, 0:0:59:767, 0, 0, 0, 0
0:0:59:768, 2456, 0:0:59:768, 0, 0:0:59:768, 0, 0:0:59:768, 0, 0:0:59:768, 0, 0, 0, 0
0:0:59:769, 2456, 0:0:59:769, 0, 0:0:59:769, 0, 0:0:59:769, 0, 0:0:59:769, 0, 0, 0, 0
0:0:59:769, 2452, 0:0:59:769, 0, 0:0:59:769, 0, 0:0:59:769, 0, 0:0:59:769, 0, 0, 0, 0
0:0:59:771, 2447, 0:0:59:771, 2456, 0:0:59:771, 0, 0:0:59:771, 0, 0:0:59:771, 0, 0, 0
0:0:59:771, 2442, 0:0:59:771, 0, 0:0:59:771, 0, 0:0:59:771, 0, 0:0:59:771, 0, 0, 0, 0
0:0:59:772, 2432, 0:0:59:772, 0, 0:0:59:772, 0, 0:0:59:772, 0, 0:0:59:772, 0, 0, 0, 805.108899999999
0:0:59:772, 2421, 0:0:59:772, 0, 0:0:59:772, 0, 0:0:59:772, 0, 0:0:59:772, 0, 0, 0, 0
0:0:59:773, 2408, 0:0:59:773, 0, 0:0:59:773, 0, 0:0:59:773, 0, 0:0:59:773, 0, 0, 0, 0
0:0:59:773, 2397, 0:0:59:773, 0, 0:0:59:773, 0, 0:0:59:773, 0, 0:0:59:773, 0, 0, 0, 0
0:0:59:777, 2384, 0:0:59:777, 0, 0:0:59:777, 0, 0:0:59:777, 0, 0:0:59:777, 0, 0, 0, 0
0:0:59:779, 2368, 0:0:59:779, 0, 0:0:59:779, 0, 0:0:59:779, 0, 0:0:59:779, 0, 0, 0, 0
0:0:59:779, 2353, 0:0:59:779, 0, 0:0:59:779, 0, 0:0:59:779, 0, 0:0:59:779, 0, 0, 0, 0
0:0:59:779, 2340, 0:0:59:779, 0, 0:0:59:779, 0, 0:0:59:779, 0, 0:0:59:779, 0, 0, 0, 0
0:0:59:779, 2326, 0:0:59:779, 0, 0:0:59:779, 0, 0:0:59:779, 0, 0:0:59:779, 0, 0, 0, 0
0:0:59:780, 2311, 0:0:59:780, 0, 0:0:59:780, 0, 0:0:59:780, 0, 0:0:59:780, 0, 0, 0, 0
